,kp,damping_ratio,ramp_ratio,output_max,action_file,score,ate,success
150,733.3333333333334,0.5,0.1,0.02,0,0.30054599466323634,0.02223224747120568,0.0
151,733.3333333333334,0.5,0.2,0.02,0,0.12583934652098872,0.010991785930809208,0.0
152,733.3333333333334,0.5,0.5,0.02,0,0.12444160397049184,0.011742899044660237,0.0
153,733.3333333333334,0.5,0.7,0.02,0,0.13179069696932275,0.012388463286129216,0.0
154,733.3333333333334,0.5,1.0,0.02,0,0.1703831357414629,0.015025489033848203,0.0
155,733.3333333333334,0.6666666666666666,0.1,0.02,0,0.15811195359018038,0.014011208348055778,0.0
156,733.3333333333334,0.6666666666666666,0.2,0.02,0,0.10081358562398901,0.01015857305420824,0.0
157,733.3333333333334,0.6666666666666666,0.5,0.02,0,0.1116904206732922,0.01168114129248403,0.0
158,733.3333333333334,0.6666666666666666,0.7,0.02,0,0.12499128363001562,0.01259394779770207,0.0
159,733.3333333333334,0.6666666666666666,1.0,0.02,0,0.1645761537356226,0.01498377750424136,0.0
160,733.3333333333334,0.8333333333333333,0.1,0.02,0,0.11140422986599664,0.01055668940086942,0.0
161,733.3333333333334,0.8333333333333333,0.2,0.02,0,0.09833057145253865,0.0102621833708527,0.0
162,733.3333333333334,0.8333333333333333,0.5,0.02,0,0.12028683495089675,0.012326036050314253,0.0
163,733.3333333333334,0.8333333333333333,0.7,0.02,0,0.1368966920602446,0.013247221851213612,0.0
164,733.3333333333334,0.8333333333333333,1.0,0.02,0,0.1847619409709838,0.016447883276674923,0.0
165,733.3333333333334,1.0,0.1,0.02,0,0.11013245874060915,0.010323198746212448,0.0
166,733.3333333333334,1.0,0.2,0.02,0,0.10386274259875548,0.010108353029020864,0.0
167,733.3333333333334,1.0,0.5,0.02,0,0.13267534808939144,0.01309741703300303,0.0
168,733.3333333333334,1.0,0.7,0.02,0,0.15123919277252237,0.014095327416296937,0.0
169,733.3333333333334,1.0,1.0,0.02,0,0.1932818917087965,0.017043480714658363,0.0
170,733.3333333333334,1.1666666666666665,0.1,0.02,0,0.13352110746634097,0.012291746378404994,0.0
171,733.3333333333334,1.1666666666666665,0.2,0.02,0,0.14599711985176025,0.01292190610307316,0.0
172,733.3333333333334,1.1666666666666665,0.5,0.02,0,0.14479947949041871,0.01375244006799377,0.0
173,733.3333333333334,1.1666666666666665,0.7,0.02,0,0.1592063521717949,0.014539529659984726,0.0
174,733.3333333333334,1.1666666666666665,1.0,0.02,0,0.19985336207771298,0.017475575000742257,0.0
175,733.3333333333334,1.3333333333333333,0.1,0.02,0,0.1569663045022701,0.013800999383571804,0.0
176,733.3333333333334,1.3333333333333333,0.2,0.02,0,0.15639724987657147,0.013752902502335875,0.0
177,733.3333333333334,1.3333333333333333,0.5,0.02,0,0.15867146542578706,0.014406665831754602,0.0
178,733.3333333333334,1.3333333333333333,0.7,0.02,0,0.16757274927913018,0.014996854569951014,0.0
179,733.3333333333334,1.3333333333333333,1.0,0.02,0,0.21105101778575341,0.01860742154203293,0.0
180,733.3333333333334,1.5,0.1,0.02,0,0.16542520191865717,0.014421938209767369,0.0
181,733.3333333333334,1.5,0.2,0.02,0,0.16010223028798226,0.014213446049277509,0.0
182,733.3333333333334,1.5,0.5,0.02,0,0.1594670620804206,0.014329989758184655,0.0
183,733.3333333333334,1.5,0.7,0.02,0,0.18923266159448504,0.016592233959685402,0.0
184,733.3333333333334,1.5,1.0,0.02,0,0.21458351681125004,0.01876277347372172,0.0
185,733.3333333333334,1.6666666666666665,0.1,0.02,0,0.1694463378875944,0.014807594326848082,0.0
186,733.3333333333334,1.6666666666666665,0.2,0.02,0,0.16736848430660148,0.014695106835964748,0.0
187,733.3333333333334,1.6666666666666665,0.5,0.02,0,0.16881861087810715,0.014895314927406898,0.0
188,733.3333333333334,1.6666666666666665,0.7,0.02,0,0.19732265579798558,0.017224316632458797,0.0
189,733.3333333333334,1.6666666666666665,1.0,0.02,0,0.22385855919952571,0.019619008132560987,0.0
190,733.3333333333334,1.8333333333333333,0.1,0.02,0,0.1770827414931332,0.015329972659991661,0.0
191,733.3333333333334,1.8333333333333333,0.2,0.02,0,0.17585555366723513,0.01532385581069101,0.0
192,733.3333333333334,1.8333333333333333,0.5,0.02,0,0.176713627830643,0.0153555740866523,0.0
193,733.3333333333334,1.8333333333333333,0.7,0.02,0,0.20294365295255526,0.01757960847433493,0.0
194,733.3333333333334,1.8333333333333333,1.0,0.02,0,0.22792908880611176,0.01989078465052917,0.0
195,733.3333333333334,2.0,0.1,0.02,0,0.17711554398898982,0.015213498709768077,0.0
196,733.3333333333334,2.0,0.2,0.02,0,0.18608867428938297,0.01614554305283899,0.0
197,733.3333333333334,2.0,0.5,0.02,0,0.1920685275025689,0.0166195970432288,0.0
198,733.3333333333334,2.0,0.7,0.02,0,0.2171378011410396,0.01899551335078571,0.0
199,733.3333333333334,2.0,1.0,0.02,0,0.2297312550746413,0.020005751438145643,0.0
200,944.4444444444445,0.5,0.1,0.02,0,0.5684669390631856,0.05232187508370066,0.0
201,944.4444444444445,0.5,0.2,0.02,0,0.23705351287876802,0.018247739168513705,0.0
202,944.4444444444445,0.5,0.5,0.02,0,0.13091806023246694,0.011627206329356954,0.0
203,944.4444444444445,0.5,0.7,0.02,0,0.18842289968861228,0.016197927522773718,0.0
204,944.4444444444445,0.5,1.0,0.02,0,0.19731629565808362,0.015869373328490883,0.0
205,944.4444444444445,0.6666666666666666,0.1,0.02,0,0.2705844590140111,0.02100375762441704,0.0
206,944.4444444444445,0.6666666666666666,0.2,0.02,0,0.11955207063496467,0.0112166505613556,0.0
207,944.4444444444445,0.6666666666666666,0.5,0.02,0,0.1221324003778594,0.011955375798524395,0.0
208,944.4444444444445,0.6666666666666666,0.7,0.02,0,0.11911573501592193,0.011979731027619019,0.0
209,944.4444444444445,0.6666666666666666,1.0,0.02,0,0.18000112055102027,0.015262495912588946,0.0
210,944.4444444444445,0.8333333333333333,0.1,0.02,0,0.28265618093992173,0.024252067375179112,0.0
211,944.4444444444445,0.8333333333333333,0.2,0.02,0,0.10951747697395882,0.009712631323004841,0.0
212,944.4444444444445,0.8333333333333333,0.5,0.02,0,0.11417260730941481,0.011666450913036332,0.0
213,944.4444444444445,0.8333333333333333,0.7,0.02,0,0.12423740114216952,0.012529571417160644,0.0
