cone_type,friction,geom_size,geom_solimp_high,geom_solimp_low,geom_solimp_width,geom_solref_dampratio,geom_solref_timeconst,impratio,joint_solimp_high,joint_solimp_low,joint_solimp_width,joint_solref_dampratio,joint_solref_timeconst,num_cloth_geoms,tendon_main_solimp_high,tendon_main_solimp_low,tendon_main_solimp_width,tendon_main_solref_dampratio,tendon_main_solref_timeconst,tendon_shear_solimp_high,tendon_shear_solimp_low,tendon_shear_solimp_width,tendon_shear_solref_dampratio,tendon_shear_solref_timeconst
elliptic,0.415990610928658,0.01097583901678,0.994011651384407,0.991208206134547,0.019805904982783,1.01238037343308,0.032751146537142,39.6155073398144,0.993835861299333,0.999209612294045,0.025128164816579,0.98659687070826,0.01965926616994,9,0.991032861104504,0.997307610354306,0.023092663516055,0.999121302786164,0.040788229481298,0.991552637855837,0.996131527306437,0.021537043795326,1.00447093895367,0.041020696069297
elliptic,0.187586383734309,0.008320404129216,0.998518391575651,0.990184317259947,0.020871280188663,1.01513981683413,0.036051046443562,37.7037498245889,0.99304063819471,0.999505242227575,0.017284135122578,1.00504864655518,0.04858221325733,11,0.99733155175328,0.993656177745118,0.023054417438534,1.01536044416355,0.030374402906222,0.99600511979854,0.991976236292813,0.010607152360278,1.00910753542319,0.022971859258133
elliptic,0.67434045055215,0.005597500635851,0.998810113609816,0.998331676582944,0.010645554266454,1.0088494040251,0.014838157728556,15.3247380981979,0.991518747995423,0.99071902059092,0.019729779037585,0.983295483812969,0.011016424752562,15,0.997081733180401,0.998011969179669,0.020984799301688,1.00005958237562,0.042354544026753,0.996066763763603,0.997519155039443,0.027377522160966,0.999753084693639,0.02623088024111
elliptic,0.360243890895186,0.007746444729549,0.995732272155171,0.997495041796815,0.010135300085679,1.00636067766291,0.031376399342797,21.3019428819326,0.993669918750107,0.993985070080375,0.017580482783269,0.989433980328888,0.021548829015201,11,0.996848129763924,0.992319714366337,0.02630128651134,1.0008318681598,0.045769884207058,0.99669629295312,0.991520170482289,0.014035015557029,0.997080682281452,0.012745768755061
elliptic,8.02149078270713,0.0019755469646,0.991398038084803,0.994385178699935,0.024744464192571,1.00580517833833,0.039483643131896,35.0813192001436,0.996292609351292,0.997986248113485,0.012337644587788,0.999872860597479,0.03033377140904,11,0.991936672271125,0.991336526701347,0.021393488636573,1.00066488386455,0.028890549109377,0.996205843006603,0.997765646297305,0.027748542630431,1.00095467940048,0.017543126033651
elliptic,7.67733154914019,0.002399531361295,0.99838227923552,0.998380627633806,0.023740109108104,0.991812662715663,0.014333317875131,24.6412123573166,0.996552235591043,0.991869076158002,0.028790767631878,1.00799741333326,0.028390371028145,9,0.993736396700511,0.991518849673377,0.013671962473937,0.980541875104349,0.040752865869891,0.995732587679673,0.994833143417604,0.022194667303505,0.99337719722316,0.013266948920858
pyramidal,0.577456155705203,0.010176312966902,0.992334462382712,0.994772086159601,0.019168834899317,1.00058067342632,0.015216004302356,20.9593588727529,0.994472099881407,0.99079826283227,0.017517612372997,1.01077727123309,0.044175778938678,9,0.99370484935811,0.994959068293218,0.017016377768105,1.00692417546136,0.04495968380845,0.994750783902252,0.991853254776789,0.018281606364521,1.00280333355408,0.034663867128679
elliptic,0.183051512893535,0.00636134675366,0.996835871603928,0.998549804844816,0.011312131481518,0.985166675892275,0.043881316852777,11.1963689726031,0.993637726015457,0.996409229804699,0.028799588426341,0.984252556439172,0.048775260055412,15,0.993994667290406,0.990326155795547,0.027668975079921,0.980365372022777,0.019453640998248,0.995878884808296,0.991976733441136,0.022918600775022,1.00557673212464,0.021158742835232
elliptic,2.14757225817851,0.002541155183885,0.993625218150586,0.993817479916684,0.01325234188384,1.00970450064935,0.017542415078786,3.60773773228935,0.992133271916924,0.996588920873859,0.028260849712952,1.00758118545086,0.017276156477807,11,0.997553965462087,0.997639916178039,0.016095534785068,1.00992640747789,0.034239117885955,0.990176332642362,0.994689805252642,0.020612823666405,1.00205354146356,0.010383130549818
elliptic,6.48367907545087,0.001021190183555,0.993219068610989,0.990205916919594,0.022708322674489,1.01031141195915,0.020978979262528,16.4563263845652,0.991162526684549,0.999752611808172,0.017413202421475,1.00914799212646,0.021848370172461,11,0.99193985834884,0.992608569038821,0.01012061308853,0.999224390026231,0.034325452927572,0.990173434543558,0.997635765017331,0.011828229643652,1.00490588397862,0.018901480686068
elliptic,9.67768834523455,0.00331886238152,0.997012803910334,0.9916803868005,0.018931003438282,0.982626391350875,0.034759517558514,38.3763684017876,0.996439389335319,0.996164873699772,0.016573516372418,1.00331893529078,0.043522557106183,9,0.998791158832212,0.99070512747702,0.026126324072575,1.01216606707146,0.031130705131328,0.990277868099498,0.997161137713418,0.01861989722653,1.00738752701246,0.017657360185155
elliptic,5.29372944390914,0.001151731194972,0.993908895187802,0.991126992437241,0.028230627418496,0.98663860058963,0.042260990244835,34.6992792373651,0.991794734546635,0.996894853444756,0.023447173129992,1.00068037387747,0.027965948745684,9,0.996041895518093,0.994037377912755,0.029233799500188,0.992700986644777,0.042042318927577,0.998353797255035,0.99429994418049,0.019117737872458,1.00125615469469,0.012362280253649
